StudNo	StudName	StudGender	StudBirthDay	ClassID
20230716062	刘会龙	男	2005/3/8	20230716
20230716063	赵晓征	女	2005/5/23	20230716
20230716064	王飞	男	2005/10/12	20230716
20230716065	曾毅	男	2004/11/20	20230716
20230716066	韩智亮	男	2004/3/7	20230716
20230716067	葛潇霄	男	2005/3/18	20230716
20230716068	闫兆友	男	2005/9/17	20230716
20230716069	杨燕	男	2005/4/16	20230716
20230716070	易慧琴	男	2005/3/17	20230716
20230716071	段莲	男	2006/1/1	20230716
20230716072	潘雯	男	2005/8/19	20230716
20230716073	胡绍荣	女	2005/4/8	20230716
20230716074	王平	女	2005/5/23	20230716
20230716075	连夏晖	男	2004/4/20	20230716
20230716076	陈永福	女	2006/5/12	20230716
20230716077	潘琳	男	2005/12/22	20230716
